themes,original_theme
economy,epu_economy
economy historic,epu_economy_historic
policy,epu_policy
authorities,epu_policy_authorities
bank japan,epu_policy_bank_of_japan
blue house,epu_policy_blue_house
budget,epu_policy_budget
central bank,epu_policy_central_bank
congress,epu_policy_congress
congressional,epu_policy_congressional
deficit,epu_policy_deficit
duma,epu_policy_duma
federal reserve,epu_policy_federal_reserve
fiscal,epu_policy_fiscal_policy
government,epu_policy_government
interest rate,epu_policy_interest_rate
interest rates,epu_policy_interest_rates
law,epu_policy_law
lawmakers,epu_policy_lawmakers
legislation,epu_policy_legislation
ministry finance,epu_policy_ministry_of_finance
monetary,epu_policy_monetary_policy
policy policy,epu_policy_policy
policymaker s,epu_policy_policymakers
policy political,epu_policy_political
public investment,epu_policy_public_investment
reform,epu_policy_reform
regulation,epu_policy_regulation
regulatory,epu_policy_regulatory
spending,epu_policy_spending
tax,epu_policy_tax
whitehouse,epu_policy_white_house
organization,epu_policy_world_trade_organization
uncertainty,epu_uncertainty
indi gin ous,eth_indiginous
evacuation,evacuation
exhumation,exhumation
exile,exile
extremism,extremism
ownership,firearm_ownership
security,food_security
staple,food_staple
free speech,freespeech
fuel prices,fuelprices
holiday,gen_holiday
violence,gender_violence
government,general_government
health,general_health
public opinion,general_public_opinion
gentrification,gentrification
dissolve gov,gov_dissolvegov
foia,gov_foia
intergovernmental,gov_intergovernmental
local gov,gov_localgov
reform,gov_reform
repatriation,gov_repatriation
wiretapping,gov_wiretapping
grievances,grievances
harassment,harassment
speech,hate_speech
pandemic,health_pandemic
sex trans disease,health_sextransdisease
vaccination,health_vaccination
rights abuses,human_rights_abuses
beatings,human_rights_abuses_beatings
concentration camp,human_rights_abuses_concentration_camp
concentration camps,human_rights_abuses_concentration_camps
extrajudicial,human_rights_abuses_extrajudicial
human rights abuses,human_rights_abuses_human_rights_abuses
mass graves,human_rights_abuses_mass_graves
police brutality,human_rights_abuses_police_brutality
torture,human_rights_abuses_torture
tortured,human_rights_abuses_tortured
torturing,human_rights_abuses_torturing
trafficking,human_trafficking
ideology,ideology
immigration,immigration
impeachment,impeachment
inequality,income_inequality
inequality,inequality
hoax,info_hoax
rumor,info_rumor
bad roads,infrastructure_bad_roads
insurgency,insurgency
censorship,internet_censorship
jihad,jihad
justice,justice
kidnap,kidnap
kill,kill
land mine,landmine
leader,leader
constitutional amendment,leg_constitutionalamendment
legalize,legalize
legislation,legislation
lgb t,lgbt
literacy,literacy
disaster,manmade_disaster
aground,manmade_disaster_aground
car accident,manmade_disaster_car_accident
car crash,manmade_disaster_car_crash
deadly accident,manmade_disaster_deadly_accident
derailed,manmade_disaster_derailed
derailment,manmade_disaster_derailment
emergency landing,manmade_disaster_emergency_landing
fire truck,manmade_disaster_fire_truck
fire trucks,manmade_disaster_fire_trucks
gas explosion,manmade_disaster_gas_explosion
helicopter crash,manmade_disaster_helicopter_crash
house fire,manmade_disaster_house_fire
implied,manmade_disaster_implied
oil spill,manmade_disaster_oil_spill
plane crash,manmade_disaster_plane_crash
power failure,manmade_disaster_power_failure
power outage,manmade_disaster_power_outage
power outages,manmade_disaster_power_outages
radioactive,manmade_disaster_radioactive
restore power,manmade_disaster_restore_power
road accident,manmade_disaster_road_accident
suspicious package,manmade_disaster_suspicious_package
traffic accident,manmade_disaster_traffic_accident
vehicle crash,manmade_disaster_vehicle_crash
electricity,manmade_disaster_without_electricity
power,manmade_disaster_without_power
maritime,maritime
incident,maritime_incident
identified,maritime_incident_self_identified
piracy,maritime_piracy
emergency room,med_emergencyroom
medical tourism,med_medicaltourism
censorship,media_censorship
msm,media_msm
social,media_social
medical,medical
security,medical_security
mercenaries,mil_mercenaries
arms deal,mil_self_identified_arms_deal
proliferation,mil_weapons_proliferation
military,military
cooperation,military_cooperation
environmental,movement_environmental
general,movement_general
other,movement_other
social,movement_social
women s,movement_womens
disaster,natural_disaster
aftershock,natural_disaster_aftershock
aftershocks,natural_disaster_aftershocks
avalanche,natural_disaster_avalanche
avalanches,natural_disaster_avalanches
blizzard,natural_disaster_blizzard
brushfire,natural_disaster_brush_fire
bushfire,natural_disaster_bushfire
chill,natural_disaster_chill
cold snap,natural_disaster_cold_snap
cyclone,natural_disaster_cyclone
cyclones,natural_disaster_cyclones
desertification,natural_disaster_desertification
drought,natural_disaster_drought
droughts,natural_disaster_droughts
drown,natural_disaster_drown
drowned,natural_disaster_drowned
drowning,natural_disaster_drowning
earthquake,natural_disaster_earthquake
earthquakes,natural_disaster_earthquakes
erosion,natural_disaster_erosion
eruption,natural_disaster_eruption
eruptions,natural_disaster_eruptions
extreme weather,natural_disaster_extreme_weather
famine,natural_disaster_famine
flashflood,natural_disaster_flash_flood
flashflood s,natural_disaster_flash_floods
flood,natural_disaster_flood
flood warning,natural_disaster_flood_warning
floodwaters,natural_disaster_flood_waters
flooded,natural_disaster_flooded
flooding,natural_disaster_flooding
floods,natural_disaster_floods
floodwaters,natural_disaster_floodwaters
forest fire,natural_disaster_forest_fire
forest fires,natural_disaster_forest_fires
freezing temperatures,natural_disaster_freezing_temperatures
frigid,natural_disaster_frigid
frostbite,natural_disaster_frostbite
heat wave,natural_disaster_heat_wave
heat waves,natural_disaster_heat_waves
heat wave,natural_disaster_heatwave
heavy rain,natural_disaster_heavy_rain
heavy rains,natural_disaster_heavy_rains
heavy snow,natural_disaster_heavy_snow
snowfall,natural_disaster_heavy_snowfall
heavy winds,natural_disaster_heavy_winds
high water,natural_disaster_high_water
high wind,natural_disaster_high_wind
high winds,natural_disaster_high_winds
hurricane,natural_disaster_hurricane
hurricanes,natural_disaster_hurricanes
hypothermia,natural_disaster_hypothermia
ice,natural_disaster_ice
icy,natural_disaster_icy
intense rainfall,natural_disaster_intense_rainfall
landslide,natural_disaster_landslide
landslides,natural_disaster_landslides
lava,natural_disaster_lava
locust,natural_disaster_locust
magma,natural_disaster_magma
monsoon,natural_disaster_monsoon
mudslide,natural_disaster_mudslide
mudslide s,natural_disaster_mudslides
natural,natural_disaster_natural_disaster
natural disasters,natural_disaster_natural_disasters
powerful storm,natural_disaster_powerful_storm
richter scale,natural_disaster_richter_scale
severe weather,natural_disaster_severe_weather
smog,natural_disaster_smog
snowstorm,natural_disaster_snowstorm
storm damage,natural_disaster_storm_damage
storm surge,natural_disaster_storm_surge
